code,question,id,reference,prediction,accuracy.score,completeness.score,relevance.score,clarity.score
def dict contains superset subset for key value in subset iteritems ok key in superset eq superset[key] value,How do all key / val pairs in dict subset exist also ?,q18633,in superset,Each key-value pair exists in the superset because they are equal based on the same key and value.,2,2,3,2
@mock opsworks@mock ec 2 def test ec 2 integration opsworks boto 3 client u'opsworks' region name u'us-east- 1 ' stack id opsworks create stack Name u'S 1 ' Region u'us-east- 1 ' Service Role Arn u'service arn' Default Instance Profile Arn u'profile arn' [u' Stack Id']layer id opsworks create layer Stack Id stack id Type u'custom' Name u'S 1 L 1 ' Shortname u'S 1 L 1 ' [u' Layer Id']instance id opsworks create instance Stack Id stack id Layer Ids [layer id] Instance Type u't 2 micro' [u' Instance Id']ec 2 boto 3 client u'ec 2 ' region name u'us-east- 1 ' reservations ec 2 describe instances [u' Reservations']assert reservations should be emptyopsworks start instance Instance Id instance id reservations ec 2 describe instances [u' Reservations']reservations[ 0 ][u' Instances'] should have length of 1 instance reservations[ 0 ][u' Instances'][ 0 ]opsworks instance opsworks describe instances Stack Id stack id [u' Instances'][ 0 ]instance[u' Instance Id'] should equal opsworks instance[u' Ec 2 Instance Id'] instance[u' Private Ip Address'] should equal opsworks instance[u' Private Ip'],How be instances created via opsworks be discoverable ?,q4279,via ec2,Instances can be discoverable via OpsWorks and EC2 via their UUIDs.,2,2,3,2
def step size to bound x s lb ub non zero np nonzero s s non zero s[non zero]steps np empty like x steps fill np inf with np errstate over 'ignore' steps[non zero] np maximum lb - x [non zero] / s non zero ub - x [non zero] / s non zero min step np min steps return min step np equal steps min step * np sign s astype int,For what purpose did a min_step size require ?,q17644,to reach a bound,To compute the minimum step size required to reach a bound in numpy.,2,2,3,3
def cwd at path def decorator func @functools wraps func def wrapper *args **kwds try oldcwd os getcwd repo root os path dirname test dir os chdir os path join repo root path return func *args **kwds finally os chdir oldcwd return wrapperreturn decorator,What do decorator run at path ?,q8499,function,run at path,1,1,2,3
def convert mysql timestamp timestamp if not PY 2 and isinstance timestamp bytes bytearray timestamp timestamp decode 'ascii' if timestamp[ 4 ] '-' return convert datetime timestamp timestamp + '0 ' * 14 - len timestamp year month day hour minute second int timestamp[ 4] int timestamp[ 4 6] int timestamp[ 6 8] int timestamp[ 8 10 ] int timestamp[ 10 12 ] int timestamp[ 12 14 ] try return datetime datetime year month day hour minute second except Value Error return None,What does the code convert to a timestamp object ?,q15986,a mysql timestamp,Mysql Timestamp,2,2,3,2
def cryptovariables equal x y return hmac sha 256 CRYPTOVARIABLE EQUALITY COMPARISON NONCE x hmac sha 256 CRYPTOVARIABLE EQUALITY COMPARISON NONCE y,How does two strings compare for equality ?,q4252,securely,Comparing strings for equality securely,3,3,3,3
def find packages where ' ' exclude out []stack [ convert path where '' ]while stack where prefix stack pop 0 for name in os listdir where fn os path join where name if ' ' not in name and os path isdir fn and os path isfile os path join fn ' init py' out append prefix + name stack append fn prefix + name + ' ' for pat in list exclude + ['ez setup'] from fnmatch import fnmatchcaseout [item for item in out if not fnmatchcase item pat ]return out,"Where should where be supplied as a "" cross - platform "" path ?",q541,where,On Windows.,1,1,2,2
def sensitive variables *variables def decorator func @functools wraps func def sensitive variables wrapper *args **kwargs if variables sensitive variables wrapper sensitive variables variableselse sensitive variables wrapper sensitive variables ' ALL 'return func *args **kwargs return sensitive variables wrapperreturn decorator,Where did which variables use ?,q6140,in the decorated function,Sensitive variables used in the decorated function and decorated view,2,2,3,2
def fix IE for vary request response useragent request META get 'HTTP USER AGENT' '' upper if 'MSIE' not in useragent and 'CHROMEFRAME' not in useragent return responsesafe mime types 'text/html' 'text/plain' 'text/sgml' mime type response get ' Content- Type' '' partition ' ' [0 ]if mime type not in safe mime types try del response[' Vary']except Key Error passreturn response,How will this function fix the bug reported at URL whenever the mime - type is not safe enough for internet explorer to handle ?,q9351,by clearing the vary header,"It fixes a bug by clearing the ""Vary"" header when the MIME type is not safe for Internet Explorer to handle.",3,2,3,3
def lastmodified date obj header ' Last- Modified' date obj strftime '%a %d%b%Y%TGMT',When did header modify ?,q6344,last,Header modified on last modification date.,2,2,3,2
"def handle text mic profile messages [""I'msorry couldyourepeatthat?"" ' Myapologies couldyoutrysayingthatagain?' ' Saythatagain?' ' Ibegyourpardon?']message random choice messages mic say message",What has unclear or unusable input ?,q6853,the user,User.,2,2,3,3
def reset alarm **kwargs service instance kwargs get 'service instance' payload build payload **kwargs logging debug payload session service instance stubif not send request payload session return Falsereturn True,For what purpose do someone log ?,q18138,to do it manually,Alarm,1,1,2,3
@with setup reset def test new bundle b Bundle register 'foo' b 's 2 ' 's 3 ' assert b in get 'foo' contents register 'footon' 's 1 ' assert 's 1 ' in get 'footon' contents register 'foofighters' b output 'bar' assert b in get 'foofighters' contents,How do a new bundle register ?,q3400,test,A new bundle register is created using `def`.,1,1,2,2
def find files roots generated resources None ignored patterns IGNORED PATTERNS ignored dirs IGNORED DIRS ignored path regexps IGNORED PATH REGEXPS allowed extensions None if generated resources is None generated resources set if isinstance roots string types roots [roots]if isinstance allowed extensions string types allowed extensions set [allowed extensions] for root in roots for path dirs files in os walk root path posixpath normpath path replace os sep '/' remove ignored directories path dirs ignored dirs ignored path regexps for filename in files filepath posixpath join path filename if filename 'generated resources txt' process generated resources path filepath generated resources continueif not all not fnmatch fnmatch filename x for x in ignored patterns continueif not check allowed extension filepath allowed extensions continue yield filepath,How do files find in roots ?,q6520,with ignores,Files are found in roots by walking through directories and checking for allowed extensions and ignored patterns.,2,2,3,3
def minimals A le lambda x y x < y r []for x in A for a in A if le a x and not le x a breakelse for a in r if le a x breakelse r append x return r,By how much did elements order ?,q11185,partially,Increased order,1,1,2,2
def kernel versions debian kernel get selections salt ['cmd run'] 'dpkg--get-selectionslinux-image-*' kernels []kernel versions []for line in kernel get selections splitlines kernels append line try kernel kernels[ -2 ]except Index Error kernel kernels[ 0 ]kernel kernel rstrip ' DCTB DCTB install' kernel get version salt ['cmd run'] 'apt-cachepolicy' + kernel for line in kernel get version splitlines if line startswith ' Installed ' kernel v line strip ' Installed ' kernel versions append kernel v breakif grains ['os'] ' Ubuntu' kernel v kernel versions[ 0 ] rsplit ' ' 1 kernel ubuntu generic kernel v[ 0 ] + '-generic#' + kernel v[ 1 ] kernel ubuntu lowlatency kernel v[ 0 ] + '-lowlatency#' + kernel v[ 1 ] kernel versions extend [kernel ubuntu generic kernel ubuntu lowlatency] return kernel versions,When did kernel name instal ?,q8185,last,Ubuntu,1,1,2,3
def get keywords git refnames '$ Format %d$'git full '$ Format %H$'git date '$ Format %ci$'keywords {'refnames' git refnames 'full' git full 'date' git date}return keywords,For what purpose do the keywords need ?,q7334,to look up the version information,Version information,3,2,3,3
def Function fname klassname ' %s Function' % fname c globals [klassname] return c,What selects the function object ?,q6693,internal method,The code selects the function object using globals.,2,2,3,3
def start Dtmf a Tp Pd pd 3 b Message Type mes Type 53 c Keypad Facility Hdr iei KF 44 eight Bit KF 0 packet a / b / c return packet,Where do dtmf start ?,q2461,section 9,Dtmf starts at section 9.,3,3,3,3
def eval univariate f var idx point x bij Dict To Var Bijection var idx point return list map bij mapf f x,Where do values vary ?,q11206,at one index,Values vary.,2,2,2,2
@keras testdef test image classification np random seed 1337 input shape 16 16 3 X train y train X test y test get test data nb train 500 nb test 200 input shape input shape classification True nb class 4 y train to categorical y train y test to categorical y test nb conv 3nb pool 2model Sequential [ Convolution 2 D nb filter 8 nb row nb conv nb col nb conv input shape input shape Max Pooling 2 D pool size nb pool nb pool Flatten Activation 'relu' Dense y test shape[ -1 ] activation 'softmax' ] model compile loss 'categorical crossentropy' optimizer 'rmsprop' metrics ['accuracy'] history model fit X train y train nb epoch 10 batch size 16 validation data X test y test verbose 0 assert history history['val acc'][ -1 ] > 0 85,How do random 16x16 color images classify into several classes ?,q9258,using logistic regression with convolutional hidden layer,"
Image classification using Keras",2,2,2,2
def load vi open in editor bindings registry Registry navigation mode Vi Mode & Vi Navigation Mode registry add binding u'v' get by name u'edit-and-execute-command' return registry,Where will the code pressing v in navigation mode open the buffer ?,q7058,in an external editor,In an external editor,3,3,3,3
def create directory repo remote path repoif repo startswith 'ssh //' remote path parse ssh path repo repo run command repo 'mkdir-p%s' % remote path cd False,Where does the code create a directory ?,q16038,over at the remote repository,The code creates a directory on the remote repository,3,3,3,3
def get current user for models user get current user try if not user is authenticated return Nonereturn userexcept Exception as e logger info ' Cantaccessis authenticatedmethod %s' % e return None,When is flask test context not configured well ?,q13132,yet,Not configured properly,1,1,2,2
@pytest mark django dbdef test service methods with long name rf MAX LENGTH 100 long name 'X' * MAX LENGTH assert len long name MAX LENGTH sm Shipping Method objects language 'en' create shop get default shop name long name enabled True tax class get default tax class pm Payment Method objects language 'en' create shop get default shop name long name enabled True tax class get default tax class order create empty order order shipping method smorder payment method pmorder full clean order save,What do nt cause exceptions when creating an order ?,q7888,service methods with long names,Testing data,1,1,2,3
def parse mime type mime type parts mime type split ' ' params dict [tuple [s strip for s in param split ' ' ] for param in parts[ 1 ]] type subtype parts[ 0 ] split '/' return type strip subtype strip params,Where is params a dictionary of all the parameters for the media range ?,q1171,the,Params is a dictionary containing all parameters for the media range.,3,3,3,3
def file move safe old file name new file name chunk size 1024 * 64 allow overwrite False if samefile old file name new file name returntry os rename old file name new file name returnexcept OS Error passold file open old file name 'rb' try fd os open new file name os O WRONLY os O CREAT getattr os 'O BINARY' 0 not allow overwrite and os O EXCL or 0 try locks lock fd locks LOCK EX current chunk Nonewhile current chunk '' current chunk old file read chunk size os write fd current chunk finally locks unlock fd os close fd finally old file close copystat old file name new file name try os remove old file name except OS Error as e if getattr e 'winerror' 0 32 and getattr e 'errno' 0 13 raise,In which direction does a file move to another in the safest way possible ?,q5953,from one location,From one location to another in the safest way possible.,3,3,3,3
def js *args return js helper 'static/scripts/' *args,What does the code return ?,q4108,appropriate string of script tags,"
Includes Sahana JS scripts.",2,2,2,2
"def test import sysclass Hello Command Frame Work def do hello self opts args ""hello--print'helloworld' needsnoarguments""print ' Hello world'x Hello tests [[] ['hello'] ['spam'] ['-x'] ['hello' '-x'] None]for t in tests print '-' * 10 t '-' * 10 sts x run t print ' Exitstatus ' repr sts",How is this module run when ?,q2451,as a script,The module is run as a script when it is called as a command line argument.,2,2,3,2
def service start name cmd 'start' + name out err DETAILS['server'] sendline cmd return parse out,"Where does the code start a "" service "" ?",q2483,on the ssh server,On the ssh server,3,3,3,3
def maintenance mode exempt view func view func maintenance mode exempt Truereturn view func,What does the code ignore ?,q4128,shop maintenance mode,"
Shop maintenance mode",3,3,3,3
def publish cmdline reader None reader name 'standalone' parser None parser name 'restructuredtext' writer None writer name 'pseudoxml' settings None settings spec None settings overrides None config section None enable exit status 1 argv None usage default usage description default description pub Publisher reader parser writer settings settings pub set components reader name parser name writer name output pub publish argv usage description settings spec settings overrides config section config section enable exit status enable exit status return output,For what purpose did the code run a publisher ?,q5740,for command - line - based file i / o,Publisher for command-line file I/O,3,3,3,3
def prep data raw input input type max len vocab dtype 'int 32 ' index from 2 oov 1 dtype np dtype dtype if input type 'text' in shape max len 1 tokens tokenize raw input sent inp np array [ oov if t not in vocab else vocab[t] + index from for t in tokens] l min len sent inp max len xbuf np zeros in shape dtype dtype xbuf[ - l ] sent inp[ - l ] reshape -1 1 return xbufelse raise Value Error ' Unsupporteddatatype %s' % input type,When did input data receive ?,q18114,raw,The code receives raw input data and transforms it into a required format for running through neon.,2,2,3,2
def get project list config eggs dir config get 'eggs dir' 'eggs' if os path exists eggs dir projects os listdir eggs dir else projects []try projects + [x[ 0 ] for x in config cp items 'settings' ]except No Section Error passreturn projects,Where did the ones define ?,q4687,in the scrapyd,The `ones` variable is defined in the `get` function as an empty list.,1,1,1,2
def init global term modeif term mode returnif not can init returnterm init def update geometry global height widthheight term heightwidth term widthupdate geometry term on winch append update geometry readline init term mode True,Till when will the code calling this function take the terminal ?,q2049,until the current python interpreter is closed,Takes terminal until interpreter closed.,3,3,3,3
def clear site cache sender **kwargs instance kwargs['instance']using kwargs['using']try del SITE CACHE[instance pk]except Key Error passtry del SITE CACHE[ Site objects using using get pk instance pk domain]except Key Error Site Does Not Exist pass,What does the code clear each time a site is saved or deleted ?,q5951,the cache,The code clears the SITE CACHE for each site save or delete.,3,3,3,3
def has vary header response header query if not response has header ' Vary' return Falsevary headers cc delim re split response[' Vary'] existing headers set header lower for header in vary headers return header query lower in existing headers,What do the response have ?,q14526,a given header name in its vary header,A view decorator.,1,1,1,3
def media next track hass hass services call DOMAIN SERVICE MEDIA NEXT TRACK,For what purpose do the keyboard button press ?,q12070,for next track,Forwards track.,2,2,3,3
def get tags name None instance id None call None location None kwargs None resource id None if location is None location get location if instance id is None if resource id is None if name instance id get node name ['instance Id']elif 'instance id' in kwargs instance id kwargs['instance id']elif 'resource id' in kwargs instance id kwargs['resource id']else instance id resource idparams {' Action' ' Describe Tags' ' Filter 1 Name' 'resource-id' ' Filter 1 Value' instance id}return aws query params setname 'tag Set' location location provider get provider opts opts sigver '4 ',For what purpose do tags retrieve ?,q2724,for a resource,Fetches EC2 tags for an instance.,2,2,3,3
def config edit path config user config path editor util editor command try if not os path isfile path open path 'w+' close util interactive open [path] editor except OS Error as exc message u' Couldnoteditconfiguration {0 }' format exc if not editor message + u' Pleasesetthe EDITO Renvironmentvariable'raise ui User Error message,What do a edit ?,q7708,the user configuration,Edit a user configuration file.,3,3,3,3
def login required handler method def check login self *args **kwargs if self request method 'GET' self abort 400 detail ' Thelogin requireddecoratorcanonlybeusedfor GE Trequests ' user users get current user if not user return self redirect users create login url self request url else handler method self *args **kwargs return check login,In which direction be a user logged to access a handler ?,q2973,in,Logged In,2,2,2,3
def get status nodes []for line in check output [NODE TOOL 'status' KEYSPACE] splitlines fields line split if len fields 8 continuenodes append {'state' fields[ 0 ] 'ip' fields[ 1 ] 'tokens' int fields[ 4 ] 'owns' float fields[ 5 ][ -1 ] } return nodes,How do the cluster status return ?,q8063,in a structured way,The code gets the status nodes from the Cassandra cluster as requested by the client.,2,2,2,2
def make image dict image def fetch attrs d attrs return {a d[a] for a in attrs if a in d keys }properties {p['name'] p['value'] for p in image['properties'] if not p['deleted'] }image dict fetch attrs image glance db IMAGE ATTRS image dict['properties'] properties limit locations image dict return image dict,What does the code create ?,q12664,a dict representation of an image which we can use to serialize the image,A dict representation of an image.,3,2,3,3
def negotiate value response if hasattr negotiate value 'regex' regex negotiate value regexelse regex re compile ' ? * *\\s* Negotiate\\s* [^ ]* ?' re I negotiate value regex regexauthreq response headers get 'www-authenticate' None if authreq match obj regex search authreq if match obj return match obj group 1 return None,What does the code extract from the appropriate header ?,q7339,the gssapi authentication token,GSSAPI authentication token,3,3,3,3
def group seq size if not hasattr seq 'next' seq iter seq while True yield [seq next for i in xrange size ],What returns over a series of lists of length size from iterable ?,q6542,an iterator,An iterator.,3,3,3,3
def move File src File dest File try ek shutil move src File dest File fix Set Group ID dest File except OS Error copy File src File dest File ek os unlink src File,What does the code move to destination from source ?,q14878,a file,File moves to destination from source,3,3,3,2
def command output cmd shell False proc subprocess Popen cmd stdout subprocess PIPE stderr subprocess PIPE close fds platform system ' Windows' shell shell stdout stderr proc communicate if proc returncode raise subprocess Called Process Error returncode proc returncode cmd '' join cmd return stdout,Does the code return its output after it has exited ?,q1051,Yes,No.,1,1,3,3
def new mem buf buffer None if buffer is None bio lib BIO new lib BIO s mem free lib BIO freeelse data ffi new 'char[]' buffer bio lib BIO new mem buf data len buffer def free bio ref data return lib BIO free bio if bio ffi NULL raise current error bio ffi gc bio free return bio,What does the code allocate ?,q1520,a new openssl memory bio,"
Private key",1,1,1,2
def exhaust rule def exhaustive rl expr new old rule expr expr while new old new old rule new new return newreturn exhaustive rl,Till when has the code apply a rule repeatedly ?,q7945,until it has no effect,Exception,1,1,2,2
def task install api certificates api cert api key return sequence [run 'mkdir-p/etc/flocker' run 'chmodu rw X g o /etc/flocker' put path '/etc/flocker/plugin crt' content api cert get Content put path '/etc/flocker/plugin key' content api key get Content log content filter remove private key ],For what purpose did by docker plugin require private key ?,q1840,to,Validates API key for API access,2,2,3,3
def save recent scheme list scheme list app dir data dir recent filename os path join app dir 'recent pck' if os path isdir app dir with open recent filename 'wb' as f pickle dump scheme list f,When did schemes access ?,q5261,recently,Recently accessed,3,3,3,3
def patch doc config config file nospell {u'tex inline wrap' [u'<nospell>\\ ' u'</nospell>\\ '] u'tex block wrap' [u'<nospell>\\[' u'</nospell>\\]']}with open config file u'rb' as f config yaml load f index 0for extension in config get u'markdown extensions' [] if isinstance extension str if PY 3 else unicode and extension u'pymdownx arithmatex' config[u'markdown extensions'][index] {u'pymdownx arithmatex' nospell}breakelif isinstance extension dict and u'pymdownx arithmatex' in extension extension[u'pymdownx arithmatex'] nospellbreakindex + 1with codecs open MKDOCS SPELL u'w' encoding u'utf- 8 ' as f yaml dump config f width None indent 4 allow unicode True default flow style False return MKDOCS SPELL,For what purpose does the code patch the config file ?,q4364,to wrap arithmatex with a tag aspell,To wrap arithmatex with a tag aspell,3,3,3,3
def path to 3d segment with codes path zs 0 zdir u'z' if not iterable zs zs np ones len path * zs seg []codes []pathsegs path iter segments simplify False curves False for x y code z in zip pathsegs zs seg append x y z codes append code seg 3 d [juggle axes x y z zdir for x y z in seg]return seg 3 d codes,How does the code convert a path to a 3d segment ?,q7225,with path codes,It converts a path to a 3d segment by simulating the z-axis movement of the zdir vector along the path.,2,2,3,2
@check login required@check local site accessdef raw diff request review request id revision None local site None review request response find review request request review request id local site if not review request return responsedraft review request get draft request user diffset query for diff review request request user revision draft tool review request repository get scmtool data tool get parser u'' raw diff diffset resp Http Response data content type u'text/x-patch' if diffset name u'diff' filename u'rb%d patch' % review request display id else filename six text type diffset name encode u'ascii' u'ignore' filename filename replace u' ' u' ' resp[u' Content- Disposition'] u'attachment filename %s' % filename set last modified resp diffset timestamp return resp,Where does a raw diff of all the filediffs display for the given review request ?,q18197,in a diffset,Diffset.,3,3,3,2
def flatten dictionary input sep ' ' prefix None for name value in sorted input items fullname sep join filter None [prefix name] if isinstance value dict for result in flatten dictionary value sep fullname yield result else yield fullname value,What is the joined key names where ?,q4516,the first value,"The joined key names are in the ""fullname"" variable.",2,2,3,3
def scp to remote host port username password local path remote path limit '' log filename None timeout 600 interface None if limit limit '-l%s' % limit if host and host lower startswith 'fe 80 ' if not interface raise SCP Error ' Whenusingipv 6 linklocaladdressmustassign' 'theinterfacetheneighbourattache' host '%s%%%s' % host interface command 'scp-v-o User Known Hosts File /dev/null-o Preferred Authentications password-r%s-P%s%s%s@\\[%s\\] %s' % limit port local path username host remote path password list []password list append password return remote scp command password list log filename timeout,How do files copy to a remote host ?,q4672,through scp,Files copy from a local host to a remote host through scp.,3,3,3,3
def del token token token path os path join opts ['token dir'] token if os path exists token path return os remove token path is None return False,How does the code delete an eauth token ?,q7247,by name cli example,"
Validates provided auth token and deletes it.",2,2,3,2
"def assert request user has rule trigger and action permission request rule api if not cfg CONF rbac enable return Truetrigger rule api triggeraction rule api actiontrigger type trigger['type']action ref action['ref']user db get user db from request request request has trigger permission request user has rule trigger permission request request trigger trigger if not has trigger permission msg ' User""%s""doesn\'thaverequiredpermission %s tousetrigger%s' % user db name Permission Type WEBHOOK CREATE trigger type raise Access Denied Error message msg user db user db has action permission request user has rule action permission request request action ref action ref if not has action permission msg ' User""%s""doesn\'thaverequired %s permissiontouseaction%s' % user db name Permission Type ACTION EXECUTE action ref raise Access Denied Error message msg user db user db return True",When did in log ?,q12508,currently,"
Currently.",1,1,2,3
@set databasedef get content item content id None topic False **kwargs if content id if topic value Item get Item id content id Item kind ' Topic' else value Item get Item id content id Item kind ' Topic' return model to dict value,For what purpose do content render ?,q9874,to save server processing,To render content.,1,1,2,2
def wrap socket sock server hostname ssl context None global contextif context is None context init context ssl context ssl context or context ssl context check hostname Falsessl sock ssl context wrap socket sock server hostname server hostname if ssl context check hostname try ssl match hostname ssl sock getpeercert server hostname except Attribute Error ssl verify hostname ssl sock server hostname proto Nonewith ignore missing proto ssl sock selected alpn protocol with ignore missing if proto is None proto ssl sock selected npn protocol return ssl sock proto,By how much did ssl wrapping function simplify ?,q3837,vastly,Simplified.,1,1,2,2
def action method wrapped def wrapper self *arg **kw if self ainfo is None self ainfo []info kw pop ' info' None backframes kw pop ' backframes' 0 + 2 if is nonstr iter info and len info 4 info Action Info *info if info is None try f traceback extract stack limit 4 last frame Action Info *f[ -1 ] if last frame function 'extract stack' f pop info Action Info *f[ - backframes ] except info Action Info None 0 '' '' self ainfo append info try result wrapped self *arg **kw finally self ainfo pop return resultif hasattr wrapped ' name ' functools update wrapper wrapper wrapped wrapper docobj wrappedreturn wrapper,When do the right conflict info report data provide ?,q232,when a method that calls configurator,Currently,1,1,2,2
def switch org orgname profile 'grafana' if isinstance profile string types profile salt ['config option'] profile org get org orgname profile response requests post '{ 0 }/api/user/using/{ 1 }' format profile['grafana url'] org['id'] auth get auth profile headers get headers profile timeout profile get 'grafana timeout' 3 if response status code > 400 response raise for status return org,By how much do the current organization switch ?,q16107,code,Organization switch,1,1,2,3
def strip tags value return re sub '<[^>]*?>' '' force unicode value,What does the code return ?,q7988,the given html with all tags stripped,The code returns a string with all HTML tags removed and spaces between them removed.,2,2,3,2
def top contributors kb start None end None product None count 10 page 1 return top contributors l10 n start end settings WIKI DEFAULT LANGUAGE product count,What does the code get ?,q3353,the top kb editors,Top contributors,2,2,3,3
